Timestamp,Where are you from 8am to 9am on Monday's?,9am to 10am?,10am to 11am?,11am to 12pm?,12pm to 1pm?,1pm to 2pm?,2pm to 3pm?,3pm to 4pm?,4pm to 5pm?,5pm to 6pm?,6pm to 7pm?,7pm to 8pm?,"Other - If we missed your location on a question, please put it here along with the question number (i.e. ""6. Turing Hall, 9. Parking lot""). Otherwise, just leave it blank"
2/25/2020 11:43:53,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Laboratories,Fuller Laboratories,Campus Center,Campus Center,Off campus or at home,Olin Hall,Olin Hall,
2/25/2020 11:44:45,Other or not listed,Other or not listed,Olin Hall,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Alden Memorial,Alden Memorial,Alden Memorial,50 Prescott (WPI Performance Engineering Lab) 
2/25/2020 11:47:11,Higgins Laboratories,Higgins Laboratories,Atwater Kent Laboratories,Campus Center,Campus Center,Campus Center,Alden Memorial,Alden Memorial,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 11:58:01,Off campus or at home,Off campus or at home,Off campus or at home,Olin Hall,Campus Center,Campus Center,Campus Center,Higgins Laboratories,Higgins Laboratories,Off campus or at home,Off campus or at home,Alden Memorial,
2/25/2020 12:04:56,WPI Sports and Recreation Center,Fuller Apartments,Salisbury Laboratories,Higgins Laboratories,George C. Gordon Library,Campus Center,George C. Gordon Library,George C. Gordon Library,George C. Gordon Library,Alden Memorial,Alden Memorial,Fuller Apartments,
2/25/2020 12:09:32,Off campus or at home,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Foisie Innovation Studio,Foisie Innovation Studio,Campus Center,Campus Center,Alden Memorial,Alden Memorial,Off campus or at home,2/3/4/5. Gateway Park
2/25/2020 12:14:25,Off campus or at home,Campus Center,Campus Center,Campus Center,Salisbury Laboratories,Fuller Laboratories,Campus Center,Campus Center,Alden Memorial,Alden Memorial,Alden Memorial,Campus Center,Salisbury LABS
2/25/2020 12:22:46,Off campus or at home,Atwater Kent Laboratories,Campus Center,Campus Center,Fuller Laboratories,Campus Center,Higgins Laboratories,George C. Gordon Library,George C. Gordon Library,Alden Memorial,Alden Memorial,Campus Center,
2/25/2020 13:09:01,Off campus or at home,Off campus or at home,Salisbury Laboratories,Off campus or at home,Fuller Laboratories,George C. Gordon Library,George C. Gordon Library,WPI Sports and Recreation Center,WPI Sports and Recreation Center,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 13:19:24,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Laboratories,Fuller Laboratories,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,
2/25/2020 13:19:28,Off campus or at home,Off campus or at home,Goddard Hall,Goddard Hall,Campus Center,Campus Center,Washburn Shops and Stoddard Laboratories,Washburn Shops and Stoddard Laboratories,George C. Gordon Library,Alden Memorial,Alden Memorial,Off campus or at home,
2/25/2020 13:20:01,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Laboratories,Fuller Laboratories,Fuller Laboratories,Salisbury Laboratories,Salisbury Laboratories,Salisbury Laboratories,Salisbury Laboratories,Salisbury Laboratories,Is Salsbury Hall the same as Salsbury Lab? All of my Salsbury answers are for Salsbury Lab. 
2/25/2020 13:25:19,East Hall,East Hall,East Hall,East Hall,Olin Hall,Campus Center,Washburn Shops and Stoddard Laboratories,Washburn Shops and Stoddard Laboratories,Salisbury Laboratories,Salisbury Laboratories,Campus Center,East Hall,
2/25/2020 13:27:25,George C. Gordon Library,Higgins Laboratories,Higgins Laboratories,Campus Center,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,East Hall,East Hall,East Hall,East Hall,
2/25/2020 13:29:01,WPI Sports and Recreation Center,Fuller Laboratories,Fuller Laboratories,Fuller Apartments,Fuller Laboratories,Other or not listed,Other or not listed,Other or not listed,Other or not listed,Foisie Innovation Studio,Other or not listed,WPI Sports and Recreation Center,
2/25/2020 13:29:37,Salisbury Laboratories,Salisbury Laboratories,Off campus or at home,Higgins Laboratories,Higgins Laboratories,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 13:29:45,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 14:08:10,Off campus or at home,Off campus or at home,WPI Sports and Recreation Center,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 14:30:39,East Hall,Atwater Kent Laboratories,Higgins Laboratories,Higgins Laboratories,Campus Center,East Hall,East Hall,East Hall,East Hall,East Hall,Olin Hall,Olin Hall,
2/25/2020 14:32:54,Off campus or at home,Off campus or at home,Off campus or at home,Campus Center,Campus Center,Campus Center,Fuller Laboratories,Campus Center,Salisbury Laboratories,Fuller Laboratories,Olin Hall,Olin Hall,Bet
2/25/2020 14:43:48,East Hall,East Hall,Higgins Laboratories,East Hall,East Hall,Fuller Laboratories,Fuller Laboratories,East Hall,East Hall,East Hall,East Hall,East Hall,
2/25/2020 14:45:13,East Hall,East Hall,East Hall,WPI Sports and Recreation Center,Campus Center,Fuller Laboratories,Fuller Laboratories,Salisbury Laboratories,Salisbury Laboratories,Foisie Innovation Studio,East Hall,East Hall,
2/25/2020 15:40:38,Faraday,Higgins Laboratories,Higgins Laboratories,Faraday,Faraday,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Faraday,Faraday,Faraday,Faraday,
2/25/2020 15:43:45,East Hall,East Hall,Olin Hall,East Hall,East Hall,East Hall,Fuller Laboratories,East Hall,East Hall,Stratton Hall,Stratton Hall,Stratton Hall,
2/25/2020 15:53:24,Off campus or at home,Off campus or at home,Off campus or at home,Foisie Innovation Studio,Campus Center,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Laboratories,Salisbury Laboratories,
2/25/2020 16:11:41,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Salisbury Laboratories,Salisbury Laboratories,Washburn Shops and Stoddard Laboratories,Washburn Shops and Stoddard Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 19:15:03,Off campus or at home,Off campus or at home,Alden Memorial,Alden Memorial,George C. Gordon Library,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,Off campus or at home,
2/25/2020 20:12:43,East Hall,East Hall,East Hall,Other or not listed,Alden Memorial,Alden Memorial,George C. Gordon Library,George C. Gordon Library,East Hall,Other or not listed,Stratton Hall,Stratton Hall,"11am-12pm is Academic Resources Center in the Wedge, 5pm-6pm in the Little Theatre "
2/25/2020 21:21:04,Off campus or at home,Off campus or at home,Campus Center,Campus Center,George C. Gordon Library,Fuller Laboratories,Fuller Laboratories,George C. Gordon Library,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,
2/26/2020 13:50:36,Foisie Innovation Studio,Foisie Innovation Studio,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Laboratories,WPI Sports and Recreation Center,Off campus or at home,Salisbury Laboratories,Campus Center,Olin Hall,Olin Hall,
2/26/2020 14:45:27,WPI Sports and Recreation Center,WPI Sports and Recreation Center,Salisbury Laboratories,Higgins Laboratories,Off campus or at home,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,Foisie Innovation Studio,
2/26/2020 16:32:21,Off campus or at home,Off campus or at home,Off campus or at home,Off campus or at home,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,George C. Gordon Library,George C. Gordon Library,Off campus or at home,Off campus or at home,Off campus or at home,
2/26/2020 16:38:33,Off campus or at home,Off campus or at home,George C. Gordon Library,George C. Gordon Library,George C. Gordon Library,Fuller Laboratories,Fuller Laboratories,Fuller Laboratories,Off campus or at home,Off campus or at home,George C. Gordon Library,George C. Gordon Library,
2/26/2020 19:53:00,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Laboratories,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Apartments,Fuller Apartments,
2/26/2020 20:31:18,Off campus or at home,Off campus or at home,Off campus or at home,George C. Gordon Library,George C. Gordon Library,Kaven Hall,Off campus or at home,Campus Center,Campus Center,Campus Center,Off campus or at home,Off campus or at home,
2/26/2020 20:33:22,Off campus or at home,Off campus or at home,Stratton Hall,Fuller Laboratories,Campus Center,Campus Center,Fuller Apartments,Fuller Apartments,George C. Gordon Library,Salisbury Laboratories,Salisbury Laboratories,Salisbury Laboratories,
2/26/2020 20:38:51,Morgan Hall,Morgan Hall,Morgan Hall,Olin Hall,Olin Hall,Salisbury Laboratories,Morgan Hall,Morgan Hall,Morgan Hall,Morgan Hall,Morgan Hall,Morgan Hall,
2/26/2020 20:42:36,Stoddard Complex,Stoddard Complex,Alden Memorial,Alden Memorial,Olin Hall,Fuller Laboratories,Campus Center,Campus Center,Campus Center,Alden Memorial,Alden Memorial,Alden Memorial,
2/26/2020 20:46:43,Atwater Kent Laboratories,Fuller Laboratories,Fuller Laboratories,Morgan Hall,Atwater Kent Laboratories,Atwater Kent Laboratories,Atwater Kent Laboratories,Atwater Kent Laboratories,Atwater Kent Laboratories,Morgan Hall,Morgan Hall,Morgan Hall,
2/26/2020 20:47:33,Higgins Laboratories,Morgan Hall,Salisbury Laboratories,Campus Center,Salisbury Laboratories,Morgan Hall,Morgan Hall,Foisie Innovation Studio,Foisie Innovation Studio,Morgan Hall,Founders Hall,Morgan Hall,Morgan hall at 9 and 1 is daka
2/26/2020 20:48:01,Faraday,Salisbury Laboratories,Other or not listed,Other or not listed,Other or not listed,Fuller Laboratories,Faraday,Faraday,Faraday,Faraday,Faraday,Faraday,CC
2/26/2020 20:52:31,Off campus or at home,Atwater Kent Laboratories,Campus Center,Higgins Laboratories,Campus Center,Campus Center,Campus Center,Campus Center,Campus Center,Off campus or at home,Off campus or at home,Off campus or at home,
